date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours
2023-03-18,Quetta,31.3,85,24.55,8,High,1.23
2023-03-19,Islamabad,29.9,44,29.68,7,Middle,0.22
2023-03-20,Islamabad,34.1,77,8.7,7,High,0.58
2023-03-21,Quetta,30.8,54,25.02,2,Low,3.67
2023-03-22,Peshawar,23.2,65,7.04,8,High,0.79
2023-03-23,Islamabad,38.4,37,16.21,3,Middle,2.07
2023-03-24,Karachi,28.9,38,31.77,2,Low,0.18
2023-03-25,Karachi,29.8,87,18.51,2,Middle,0.43
2023-03-26,Lahore,23.5,87,14.96,6,High,2.47
2023-03-27,Islamabad,26.9,66,20.81,7,High,2.16
2023-03-28,Peshawar,23.8,77,34.41,2,Middle,0.73
2023-03-29,Quetta,28.8,74,11.01,4,High,4.63
2023-03-30,Quetta,42.0,68,15.69,4,Middle,3.62
2023-03-31,Peshawar,20.4,61,30.98,7,High,4.92
2023-04-01,Lahore,18.7,87,33.15,4,Middle,0.84
2023-04-02,Quetta,40.3,81,21.38,6,Middle,0.33
2023-04-03,Islamabad,28.5,46,14.57,3,Low,1.48
2023-04-04,Lahore,25.3,64,34.58,5,Low,1.73
2023-04-05,Islamabad,37.3,66,31.57,2,Middle,0.2
2023-04-06,Karachi,25.8,48,26.07,5,High,2.32
2023-04-07,Lahore,42.8,73,17.13,3,High,0.03
2023-04-08,Quetta,34.7,58,21.71,3,High,0.99
2023-04-09,Lahore,26.6,88,21.04,6,Middle,0.6
2023-04-10,Lahore,45.1,36,23.99,4,Middle,2.02
2023-04-11,Lahore,25.8,57,30.71,4,Middle,0.56
2023-04-12,Lahore,35.2,38,27.28,3,Middle,2.63
2023-04-13,Islamabad,32.1,57,15.54,6,Low,1.36
2023-04-14,Karachi,39.1,35,30.26,6,Middle,2.37
2023-04-15,Peshawar,40.9,58,23.88,7,High,6.81
2023-04-16,Lahore,30.2,87,26.12,8,Low,1.71
2023-04-17,Quetta,24.7,46,30.8,2,High,6.29
2023-04-18,Lahore,33.2,45,15.33,8,Middle,0.04
2023-04-19,Quetta,25.3,52,21.79,4,Low,0.62
2023-04-20,Islamabad,44.1,60,18.81,3,Middle,0.17
2023-04-21,Quetta,31.0,32,12.59,7,Low,0.46
2023-04-22,Peshawar,27.4,50,24.08,5,High,2.74
2023-04-23,Karachi,31.3,55,37.07,4,Middle,0.05
2023-04-24,Quetta,20.6,65,10.96,2,Middle,1.1
2023-04-25,Quetta,23.2,71,21.81,6,Low,1.26
2023-04-26,Karachi,38.4,66,25.84,3,Low,1.24
2023-04-27,Peshawar,25.4,82,22.74,4,Middle,0.97
2023-04-28,Lahore,22.7,51,21.32,5,Low,2.35
2023-04-29,Quetta,33.8,71,14.2,2,Middle,0.22
2023-04-30,Karachi,38.3,41,23.4,2,Low,0.56
2023-05-01,Islamabad,35.0,71,17.46,7,High,1.43
2023-05-02,Karachi,37.0,42,8.86,4,Low,1.76
2023-05-03,Islamabad,24.7,40,29.17,5,High,0.78
2023-05-04,Peshawar,20.0,83,27.75,2,Low,3.12
2023-05-05,Lahore,40.5,45,22.31,3,Low,0.81
2023-05-06,Karachi,27.7,37,23.37,2,Middle,0.77
2023-05-07,Quetta,28.2,69,28.45,5,Low,0.06
2023-05-08,Peshawar,39.3,88,23.35,6,Low,1.2
2023-05-09,Karachi,33.9,86,27.42,6,High,1.85
2023-05-10,Quetta,33.2,69,20.22,7,Low,0.18
2023-05-11,Karachi,45.2,74,29.87,4,Middle,0.55
2023-05-12,Islamabad,25.5,88,23.92,5,High,2.28
2023-05-13,Karachi,36.5,31,23.16,7,Middle,0.68
2023-05-14,Karachi,30.4,59,14.38,8,Middle,0.41
2023-05-15,Karachi,31.9,59,23.72,2,Middle,1.67
2023-05-16,Peshawar,40.7,41,17.01,8,Middle,0.33
2023-05-17,Karachi,33.6,39,18.17,2,High,3.39
2023-05-18,Quetta,33.8,73,17.11,6,Low,0.17
2023-05-19,Islamabad,37.5,40,15.6,7,Middle,1.84
2023-05-20,Islamabad,27.4,44,34.75,6,High,1.04
2023-05-21,Karachi,24.1,45,29.99,3,Middle,3.06
2023-05-22,Peshawar,22.7,46,33.52,8,Low,0.2
2023-05-23,Peshawar,16.2,55,14.66,8,High,1.7
2023-05-24,Quetta,44.4,31,22.43,6,High,1.27
2023-05-25,Karachi,22.3,79,14.24,3,Low,0.98
2023-05-26,Islamabad,28.5,41,17.83,2,High,1.01
2023-05-27,Peshawar,28.1,80,16.49,7,Low,1.92
2023-05-28,Karachi,32.2,55,29.44,3,High,4.16
2023-05-29,Peshawar,35.7,52,19.62,7,High,0.14
2023-05-30,Peshawar,36.0,47,28.41,8,Low,0.03
2023-05-31,Islamabad,25.9,61,25.62,7,Low,2.46
2023-06-01,Lahore,28.8,78,35.82,8,High,0.17
2023-06-02,Quetta,32.0,67,13.12,3,High,6.48
2023-06-03,Quetta,28.3,86,29.56,8,Low,1.45
2023-06-04,Islamabad,41.3,76,28.88,4,Low,1.58
2023-06-05,Peshawar,33.4,32,16.16,8,High,0.33
2023-06-06,Karachi,35.1,67,28.04,6,High,0.41
2023-06-07,Peshawar,34.6,32,24.02,3,High,1.62
2023-06-08,Islamabad,38.2,59,20.64,2,Low,3.61
2023-06-09,Quetta,31.3,30,17.06,7,High,6.06
2023-06-10,Peshawar,20.9,59,17.69,5,Middle,0.33
2023-06-11,Quetta,32.8,74,34.3,3,Low,0.22
2023-06-12,Karachi,25.4,61,22.0,6,High,0.09
2023-06-13,Quetta,26.3,57,26.69,8,Low,3.04
2023-06-14,Quetta,34.1,50,17.25,7,Middle,0.52
2023-06-15,Lahore,38.7,87,17.32,4,Low,0.0
2023-06-16,Lahore,30.1,75,28.49,2,High,0.38
2023-06-17,Lahore,32.2,42,13.9,4,Middle,0.62
2023-06-18,Quetta,41.9,56,19.51,5,Middle,7.06
2023-06-19,Islamabad,31.7,65,22.2,3,High,1.11
2023-06-20,Quetta,48.2,36,22.67,7,High,0.34
2023-06-21,Islamabad,34.0,51,20.93,3,High,0.61
2023-06-22,Islamabad,17.7,39,24.37,6,Low,0.6
2023-06-23,Lahore,35.3,68,26.16,3,Low,0.03
2023-06-24,Peshawar,32.7,82,26.41,2,Low,0.22
2023-06-25,Karachi,39.0,44,16.09,5,High,1.78
2023-06-26,Lahore,34.7,44,20.3,4,High,0.19
2023-06-27,Lahore,29.0,33,29.17,5,Low,0.39
2023-06-28,Peshawar,21.4,61,27.37,7,Middle,0.65
2023-06-29,Karachi,28.5,52,13.76,3,Low,2.13
2023-06-30,Quetta,24.0,84,24.11,7,Middle,1.31
2023-07-01,Quetta,25.9,35,10.13,4,High,1.75
2023-07-02,Lahore,34.1,53,22.28,7,High,1.26
2023-07-03,Karachi,41.7,49,33.39,6,Low,1.73
2023-07-04,Lahore,32.8,87,16.31,5,Low,0.0
2023-07-05,Islamabad,21.6,66,16.99,4,High,4.01
2023-07-06,Lahore,33.1,49,26.58,4,Low,0.18
2023-07-07,Lahore,38.4,41,12.74,8,High,0.78
2023-07-08,Quetta,25.7,62,18.2,4,High,2.21
2023-07-09,Quetta,29.1,57,25.58,8,Middle,0.86
2023-07-10,Quetta,30.1,37,18.19,2,Low,4.4
2023-07-11,Islamabad,24.5,30,20.58,8,High,0.95
2023-07-12,Quetta,34.5,66,26.47,5,Low,3.12
2023-07-13,Karachi,29.2,51,24.53,7,Middle,2.5
2023-07-14,Peshawar,32.9,35,23.6,8,Middle,5.94
2023-07-15,Karachi,23.8,50,19.97,4,Low,3.92
2023-07-16,Karachi,26.9,61,24.22,5,Low,3.43
2023-07-17,Quetta,35.1,64,21.26,8,High,1.97
2023-07-18,Peshawar,27.4,44,24.75,8,Middle,0.69
2023-07-19,Peshawar,42.1,34,19.02,4,Middle,0.17
2023-07-20,Peshawar,27.2,89,20.9,6,Middle,1.75
2023-07-21,Islamabad,31.6,85,16.06,6,Low,5.77
2023-07-22,Quetta,36.5,75,21.79,8,High,1.95
2023-07-23,Peshawar,20.1,79,17.13,6,Low,3.96
2023-07-24,Islamabad,17.7,77,15.32,3,Low,2.45
2023-07-25,Lahore,19.3,35,23.55,4,Low,0.27
2023-07-26,Lahore,38.8,54,23.28,3,High,0.43
2023-07-27,Islamabad,26.1,85,26.7,5,Low,0.63
2023-07-28,Islamabad,47.9,75,19.41,3,Middle,0.28
2023-07-29,Quetta,26.1,88,24.45,5,Middle,1.31
2023-07-30,Quetta,31.3,85,25.3,8,Middle,5.56
2023-07-31,Lahore,40.8,69,24.67,5,High,2.15
2023-08-01,Peshawar,44.0,58,17.05,5,Low,0.83
2023-08-02,Lahore,44.4,36,22.9,7,High,0.01
2023-08-03,Peshawar,38.5,69,24.18,3,Low,0.56
2023-08-04,Peshawar,37.2,42,22.04,7,Middle,1.12
2023-08-05,Quetta,34.1,67,9.48,8,Low,0.59
2023-08-06,Karachi,35.4,47,22.96,4,Low,0.18
2023-08-07,Karachi,26.1,31,35.28,3,Low,0.88
2023-08-08,Islamabad,24.3,37,19.84,4,High,0.44
2023-08-09,Quetta,30.0,40,17.63,4,Low,3.6
2023-08-10,Peshawar,28.8,62,24.24,5,Low,0.16
2023-08-11,Karachi,26.8,83,23.87,3,Low,0.08
2023-08-12,Peshawar,34.9,67,29.16,4,High,0.01
2023-08-13,Karachi,36.7,77,14.45,6,High,0.6
2023-08-14,Karachi,30.6,56,26.39,4,High,1.62
2023-08-15,Karachi,40.3,49,25.54,6,Low,1.97
2023-08-16,Quetta,22.0,41,21.15,3,Middle,0.91
2023-08-17,Lahore,28.6,72,24.03,8,Middle,1.73
2023-08-18,Peshawar,25.0,60,28.18,7,Middle,0.67
2023-08-19,Quetta,16.9,56,27.23,3,Low,1.65
2023-08-20,Quetta,29.4,61,15.14,7,Middle,0.06
2023-08-21,Quetta,29.1,39,26.92,7,Middle,0.74
2023-08-22,Quetta,40.6,32,21.61,3,Middle,2.35
2023-08-23,Quetta,34.4,74,22.44,4,Low,2.44
2023-08-24,Islamabad,22.8,56,22.44,2,Middle,1.89
2023-08-25,Peshawar,43.0,64,21.1,4,Middle,0.34
2023-08-26,Quetta,38.5,60,29.15,4,Low,0.43
2023-08-27,Peshawar,34.1,44,21.5,8,High,8.32
2023-08-28,Islamabad,28.4,45,15.28,5,Middle,0.16
2023-08-29,Islamabad,23.3,42,19.64,5,High,0.3
2023-08-30,Peshawar,27.4,78,23.07,4,Middle,0.21
2023-08-31,Karachi,37.6,64,29.38,6,Low,0.6
2023-09-01,Lahore,43.2,81,25.62,8,High,0.35
2023-09-02,Karachi,40.8,40,16.9,7,High,1.03
2023-09-03,Karachi,26.6,88,36.91,5,High,0.97
2023-09-04,Karachi,22.2,50,23.59,4,High,3.48
2023-09-05,Quetta,31.0,80,29.65,8,Middle,0.05
2023-09-06,Islamabad,17.6,83,21.09,2,Middle,0.58
2023-09-07,Karachi,32.3,40,25.2,6,High,1.36
2023-09-08,Islamabad,29.0,59,27.04,3,Middle,1.39
2023-09-09,Peshawar,26.7,89,29.31,4,High,0.98
2023-09-10,Lahore,18.8,77,28.34,8,High,2.54
2023-09-11,Peshawar,33.6,82,27.23,4,Low,0.1
2023-09-12,Peshawar,26.3,64,20.11,7,High,2.54
2023-09-13,Quetta,21.8,51,18.57,6,Middle,1.02
2023-09-14,Lahore,9.9,67,24.0,5,High,0.22
2023-09-15,Peshawar,29.8,60,27.6,5,Low,3.25
2023-09-16,Peshawar,42.4,43,20.66,5,Middle,1.57
2023-09-17,Lahore,41.6,53,28.39,3,Low,0.27
2023-09-18,Lahore,26.8,79,30.72,8,Low,0.05
2023-09-19,Peshawar,25.8,78,16.5,6,High,0.23
2023-09-20,Lahore,33.3,61,16.98,6,Low,1.41
2023-09-21,Peshawar,23.0,65,21.16,5,Low,0.3
2023-09-22,Peshawar,32.1,61,23.85,5,Middle,0.38
2023-09-23,Quetta,35.4,84,18.85,7,Low,0.04
2023-09-24,Karachi,38.6,44,30.11,2,High,1.93
2023-09-25,Peshawar,29.3,72,24.54,2,High,2.49
2023-09-26,Islamabad,28.6,87,22.24,4,High,2.39
2023-09-27,Karachi,23.9,64,13.38,4,Low,0.2
2023-09-28,Karachi,24.2,32,14.11,6,Middle,3.5
2023-09-29,Karachi,28.4,45,23.69,6,High,1.67
2023-09-30,Quetta,32.6,34,9.2,3,Low,3.42
2023-10-01,Peshawar,36.4,50,28.08,3,High,0.89
2023-10-02,Quetta,24.4,39,21.05,2,High,0.86
2023-10-03,Peshawar,40.4,48,41.46,4,Middle,2.3
2023-10-04,Quetta,28.1,54,35.85,2,High,0.15
2023-10-05,Quetta,29.9,33,20.91,2,Middle,1.1
2023-10-06,Islamabad,24.8,58,21.36,4,Low,2.72
2023-10-07,Quetta,13.0,48,27.97,8,High,2.66
2023-10-08,Lahore,36.2,72,32.22,3,Low,4.69
2023-10-09,Islamabad,35.2,31,12.17,7,Low,1.8
2023-10-10,Quetta,28.0,39,11.28,7,Low,0.35
2023-10-11,Karachi,30.5,72,18.27,7,High,0.03
2023-10-12,Lahore,33.6,54,25.5,4,Middle,0.98
2023-10-13,Lahore,19.1,49,24.98,5,High,1.08
2023-10-14,Lahore,26.3,77,28.42,5,Low,0.41
2023-10-15,Islamabad,35.6,48,14.8,5,Middle,0.2
2023-10-16,Quetta,21.2,52,8.1,6,Low,1.32
2023-10-17,Quetta,32.1,53,27.15,3,Middle,2.17
2023-10-18,Karachi,20.5,40,17.03,3,High,7.48
2023-10-19,Karachi,33.3,75,9.89,8,Middle,2.13
2023-10-20,Lahore,29.8,63,22.87,8,High,2.37
2023-10-21,Karachi,18.7,84,26.76,6,Low,1.44
2023-10-22,Islamabad,38.2,57,21.27,2,Middle,6.39
2023-10-23,Quetta,24.9,34,19.25,8,Low,1.53
2023-10-24,Lahore,24.3,88,21.04,7,Middle,2.95
2023-10-25,Karachi,31.4,34,19.78,5,High,4.37
2023-10-26,Islamabad,38.0,80,13.91,7,Middle,3.99
2023-10-27,Islamabad,22.9,50,17.71,5,Middle,0.72
2023-10-28,Karachi,30.4,41,25.13,7,High,0.12
2023-10-29,Quetta,33.0,79,23.93,2,High,0.28
2023-10-30,Karachi,34.9,33,23.01,7,High,0.09
2023-10-31,Lahore,31.2,83,16.03,7,Middle,0.17
2023-11-01,Karachi,27.4,78,20.91,4,Low,0.31
2023-11-02,Islamabad,24.2,71,8.94,7,Middle,0.63
2023-11-03,Karachi,30.6,49,23.07,4,Middle,1.18
2023-11-04,Quetta,22.5,67,30.57,3,Low,1.87
2023-11-05,Peshawar,9.6,54,13.16,6,High,0.36
2023-11-06,Karachi,33.1,43,18.48,7,Middle,1.67
2023-11-07,Quetta,36.3,40,23.97,3,Low,1.83
2023-11-08,Quetta,13.5,61,29.52,8,High,1.23
2023-11-09,Islamabad,22.9,40,19.31,8,High,3.51
2023-11-10,Quetta,34.3,47,17.85,4,Middle,0.18
2023-11-11,Quetta,44.4,56,10.19,7,High,0.29
2023-11-12,Quetta,30.1,84,22.62,7,High,0.84
2023-11-13,Quetta,24.9,83,34.25,2,Low,0.2
2023-11-14,Lahore,28.7,47,23.66,3,Low,1.25
2023-11-15,Lahore,39.6,85,21.87,5,High,0.76
2023-11-16,Islamabad,25.5,52,23.93,5,Low,0.5
2023-11-17,Karachi,24.4,40,21.93,2,High,0.28
2023-11-18,Quetta,26.6,50,17.12,4,Middle,0.61
2023-11-19,Karachi,23.3,73,26.94,5,Low,1.4
2023-11-20,Karachi,30.9,34,23.35,5,High,1.29
2023-11-21,Islamabad,41.4,52,22.11,8,High,0.27
2023-11-22,Quetta,32.3,70,16.15,8,Low,0.2
2023-11-23,Quetta,28.2,88,29.82,6,Low,0.04
2023-11-24,Peshawar,28.0,54,25.99,3,Middle,0.02
2023-11-25,Karachi,19.1,70,18.68,4,High,3.18
2023-11-26,Karachi,36.2,83,28.01,7,Middle,0.07
2023-11-27,Lahore,29.5,39,19.01,3,Middle,1.97
2023-11-28,Peshawar,28.7,51,17.31,4,Middle,3.08
2023-11-29,Lahore,52.4,48,17.44,5,Low,0.15
2023-11-30,Lahore,32.1,30,11.37,6,Middle,0.86
2023-12-01,Lahore,24.7,36,24.83,3,Low,4.92
2023-12-02,Islamabad,27.0,33,11.01,5,Low,2.69
2023-12-03,Islamabad,38.0,30,14.63,4,Middle,1.01
2023-12-04,Lahore,30.8,44,9.55,3,Middle,2.16
2023-12-05,Peshawar,19.9,69,21.48,7,High,2.69
2023-12-06,Karachi,36.4,41,21.1,3,Middle,0.64
2023-12-07,Peshawar,25.3,51,20.04,5,High,3.34
2023-12-08,Quetta,43.1,51,15.74,3,Middle,0.95
2023-12-09,Islamabad,37.6,79,14.97,7,Middle,1.13
2023-12-10,Karachi,26.9,76,24.79,6,Middle,12.21
2023-12-11,Karachi,39.0,46,18.7,6,Middle,2.78
2023-12-12,Quetta,30.5,58,23.9,5,High,0.67
2023-12-13,Quetta,36.0,75,16.69,4,High,0.02
2023-12-14,Lahore,33.4,43,23.09,5,Middle,1.48
2023-12-15,Islamabad,24.1,79,29.82,6,Middle,1.83
2023-12-16,Islamabad,25.5,49,25.52,2,High,1.58
2023-12-17,Peshawar,37.2,79,19.53,2,Low,5.16
2023-12-18,Lahore,27.7,77,23.54,3,Low,2.98
2023-12-19,Lahore,27.2,62,20.56,7,Low,0.89
2023-12-20,Lahore,23.3,84,22.05,8,High,0.1
2023-12-21,Lahore,33.0,88,20.05,8,High,0.97
2023-12-22,Islamabad,44.4,72,21.01,8,Low,1.75
2023-12-23,Islamabad,22.5,44,23.27,3,Low,1.4
2023-12-24,Lahore,30.2,41,16.04,2,Middle,1.16
2023-12-25,Peshawar,39.9,69,15.9,6,High,0.95
2023-12-26,Karachi,29.4,83,13.67,3,High,0.52
2023-12-27,Karachi,33.2,49,12.4,8,Low,0.49
2023-12-28,Peshawar,22.6,59,14.7,8,Low,1.04
2023-12-29,Lahore,33.0,67,22.96,5,High,0.26
2023-12-30,Islamabad,28.7,32,16.64,8,Middle,0.62
2023-12-31,Karachi,36.9,57,25.08,7,Low,0.59
2024-01-01,Quetta,38.3,85,22.21,8,High,1.33
2024-01-02,Quetta,48.1,55,10.19,5,High,0.1
2024-01-03,Peshawar,34.1,59,25.93,8,Middle,2.66
2024-01-04,Lahore,32.3,42,26.86,7,Middle,1.24
2024-01-05,Karachi,31.4,42,16.04,6,Low,1.67
2024-01-06,Lahore,27.5,31,24.52,3,Low,1.82
2024-01-07,Karachi,32.4,66,16.86,7,Low,0.52
2024-01-08,Peshawar,27.9,78,22.59,5,High,0.95
2024-01-09,Peshawar,31.2,67,14.41,3,Low,4.69
2024-01-10,Quetta,39.2,31,11.24,3,High,2.18
2024-01-11,Lahore,23.0,65,19.7,5,Low,5.24
2024-01-12,Quetta,38.0,83,21.26,2,Middle,2.06
2024-01-13,Lahore,39.2,55,19.61,8,Middle,0.29
2024-01-14,Quetta,29.2,40,14.9,7,High,0.1
2024-01-15,Islamabad,15.1,37,19.6,5,Middle,1.29
2024-01-16,Islamabad,25.7,73,23.62,6,High,0.66
2024-01-17,Islamabad,39.1,69,21.73,4,High,0.48
2024-01-18,Islamabad,29.8,72,23.1,5,Middle,2.47
2024-01-19,Karachi,23.0,51,17.98,8,High,0.69
2024-01-20,Islamabad,26.5,49,29.03,8,Middle,0.57
2024-01-21,Peshawar,35.9,37,14.94,3,Low,2.85
2024-01-22,Peshawar,33.8,58,24.93,3,Low,2.81
2024-01-23,Karachi,28.3,69,29.09,5,Middle,0.66
2024-01-24,Islamabad,27.4,55,24.89,4,Middle,2.68
2024-01-25,Islamabad,27.3,59,20.78,5,Middle,2.85
2024-01-26,Islamabad,23.5,46,18.83,4,Middle,0.83
2024-01-27,Quetta,41.3,49,28.22,4,Low,0.1
2024-01-28,Lahore,27.7,81,13.46,8,High,0.0
2024-01-29,Quetta,38.5,84,16.18,8,High,1.11
2024-01-30,Lahore,40.6,45,19.61,8,Low,0.63
2024-01-31,Islamabad,37.0,75,29.43,6,High,8.78
2024-02-01,Islamabad,27.0,72,24.28,8,Low,2.22
2024-02-02,Quetta,32.8,36,16.19,7,High,2.15
2024-02-03,Quetta,29.8,45,20.14,3,Middle,4.66
2024-02-04,Lahore,23.7,74,18.31,3,Middle,3.28
2024-02-05,Peshawar,32.3,88,17.74,4,Middle,0.57
2024-02-06,Lahore,21.7,76,27.87,3,Low,0.27
2024-02-07,Quetta,38.3,85,13.77,2,Low,2.05
2024-02-08,Quetta,26.7,77,31.65,4,High,0.71
2024-02-09,Karachi,31.4,56,26.97,3,High,0.96
2024-02-10,Quetta,32.0,82,28.55,2,High,1.49
2024-02-11,Karachi,28.2,52,19.22,6,Low,3.58
2024-02-12,Peshawar,34.1,53,21.1,3,High,0.81
2024-02-13,Lahore,26.7,38,13.4,2,Middle,2.29
2024-02-14,Lahore,36.1,64,18.85,5,High,0.47
2024-02-15,Karachi,20.6,80,24.96,7,Middle,1.8
2024-02-16,Lahore,30.9,49,29.78,5,Low,0.0
2024-02-17,Quetta,43.6,66,15.36,2,Middle,3.08
2024-02-18,Islamabad,23.0,71,19.81,4,Middle,0.05
2024-02-19,Karachi,25.3,46,21.09,8,Middle,1.87
2024-02-20,Lahore,33.6,76,13.63,8,Low,0.07
2024-02-21,Karachi,31.3,60,25.55,8,Low,0.46
2024-02-22,Karachi,32.5,84,17.66,4,Low,1.03
2024-02-23,Islamabad,33.4,86,20.83,3,Low,0.82
2024-02-24,Quetta,34.4,37,19.29,8,High,0.32
2024-02-25,Karachi,37.8,44,17.26,5,Low,0.61
2024-02-26,Lahore,32.9,60,21.96,4,Middle,1.95
2024-02-27,Peshawar,28.3,82,20.71,4,Low,1.66
2024-02-28,Karachi,34.7,59,19.77,8,High,0.11
2024-02-29,Karachi,43.3,75,17.63,5,High,2.06
2024-03-01,Islamabad,29.1,49,23.92,6,High,0.08
2024-03-02,Quetta,23.2,89,31.92,4,Middle,1.17
2024-03-03,Peshawar,37.7,68,22.84,8,Low,0.45
2024-03-04,Lahore,29.2,82,27.98,7,Low,1.33
2024-03-05,Peshawar,14.8,84,13.66,2,Low,0.45
2024-03-06,Lahore,35.9,41,22.95,3,Middle,6.3
2024-03-07,Quetta,26.3,78,15.42,4,Middle,0.56
2024-03-08,Lahore,29.4,46,13.14,7,High,0.42
2024-03-09,Islamabad,32.3,71,17.56,7,High,0.49
2024-03-10,Islamabad,31.3,59,29.15,4,Low,3.4
2024-03-11,Islamabad,35.0,58,27.7,6,Middle,1.52
2024-03-12,Islamabad,27.0,48,23.46,2,Middle,1.97
2024-03-13,Peshawar,33.6,75,12.8,3,Low,3.75
2024-03-14,Quetta,28.2,40,20.82,4,Low,3.64
2024-03-15,Lahore,35.2,63,23.81,3,High,2.01
2024-03-16,Lahore,34.3,79,23.05,5,High,0.33
2024-03-17,Islamabad,23.5,36,10.94,7,High,2.78
2024-03-18,Islamabad,37.6,73,16.66,7,Low,0.34
2024-03-19,Karachi,26.2,87,21.62,4,Low,2.04
2024-03-20,Quetta,35.7,63,25.22,4,High,1.74
2024-03-21,Peshawar,32.6,88,8.82,5,High,2.13
2024-03-22,Lahore,42.9,49,21.03,6,Middle,1.14
2024-03-23,Karachi,28.4,79,22.86,4,Middle,1.53
2024-03-24,Karachi,27.6,67,27.1,7,High,4.6
2024-03-25,Lahore,29.9,53,26.16,3,High,0.16
2024-03-26,Peshawar,27.9,39,25.5,2,Middle,0.55
2024-03-27,Karachi,35.6,61,17.2,8,High,1.42
2024-03-28,Karachi,18.7,81,10.55,3,Middle,4.99
2024-03-29,Quetta,22.6,44,19.64,6,Middle,0.15
2024-03-30,Peshawar,22.5,66,28.01,2,Middle,0.03
2024-03-31,Karachi,36.7,49,30.36,3,Low,0.09
2024-04-01,Peshawar,42.0,32,26.26,3,Low,0.08
2024-04-02,Lahore,29.3,66,24.58,5,High,3.58
2024-04-03,Islamabad,28.8,86,24.28,8,Middle,1.92
2024-04-04,Karachi,30.5,69,18.66,6,Low,1.7
2024-04-05,Quetta,38.1,37,21.22,7,High,1.11
2024-04-06,Lahore,23.5,69,32.01,5,High,2.28
2024-04-07,Peshawar,31.7,73,16.34,2,High,0.25
2024-04-08,Lahore,36.8,85,31.69,8,High,0.75
2024-04-09,Karachi,33.5,52,20.07,7,High,1.01
2024-04-10,Peshawar,31.3,69,29.95,5,Middle,0.18
2024-04-11,Islamabad,37.0,40,13.56,8,High,0.82
2024-04-12,Lahore,11.1,75,25.52,6,Middle,0.57
2024-04-13,Karachi,34.7,37,17.58,4,Low,0.05
2024-04-14,Quetta,25.4,58,13.51,4,High,0.22
2024-04-15,Peshawar,17.2,59,23.31,2,Low,2.17
2024-04-16,Lahore,33.6,85,28.06,4,Middle,0.03
2024-04-17,Lahore,39.6,89,16.93,5,Middle,4.08
2024-04-18,Islamabad,29.0,39,13.01,2,Low,0.14
2024-04-19,Islamabad,36.7,68,21.45,7,High,2.41
2024-04-20,Quetta,41.3,57,21.48,6,High,3.43
2024-04-21,Quetta,39.2,78,25.29,2,Low,4.25
2024-04-22,Karachi,41.5,65,27.7,7,Low,3.03
2024-04-23,Karachi,35.2,42,21.64,2,Low,0.51
2024-04-24,Quetta,30.5,61,33.13,3,High,0.61
2024-04-25,Quetta,18.8,65,23.35,3,High,0.83
2024-04-26,Peshawar,28.3,66,19.92,2,High,0.23
2024-04-27,Islamabad,24.1,55,12.33,8,Low,0.03
2024-04-28,Karachi,45.2,51,20.42,4,High,3.05
2024-04-29,Islamabad,28.8,33,19.98,3,Middle,1.21
2024-04-30,Islamabad,30.9,60,27.76,8,Low,1.41
2024-05-01,Quetta,33.9,47,24.77,8,High,3.93
2024-05-02,Peshawar,30.3,67,14.92,6,Low,1.64
2024-05-03,Lahore,41.9,53,23.03,7,Middle,1.76
2024-05-04,Peshawar,25.6,85,26.03,5,Middle,2.32
2024-05-05,Peshawar,31.4,52,31.17,3,Low,0.19
2024-05-06,Islamabad,24.8,51,27.33,2,Low,0.67
2024-05-07,Peshawar,20.8,31,26.57,4,Middle,5.17
2024-05-08,Karachi,25.7,60,22.36,5,Low,3.84
2024-05-09,Islamabad,29.7,84,24.33,7,Middle,3.23
2024-05-10,Karachi,27.0,40,29.5,8,Middle,0.9
2024-05-11,Lahore,25.2,57,14.0,7,High,2.92
2024-05-12,Islamabad,20.2,75,19.9,3,Low,0.07
2024-05-13,Lahore,29.4,61,17.36,7,Low,0.24
2024-05-14,Islamabad,19.5,34,24.27,7,High,0.8
2024-05-15,Quetta,35.3,67,29.38,4,Middle,0.99
2024-05-16,Peshawar,30.6,39,18.42,8,Low,0.46
2024-05-17,Quetta,19.8,69,7.66,4,High,0.66
2024-05-18,Lahore,27.8,75,19.53,4,High,0.27
2024-05-19,Peshawar,24.7,53,27.48,2,Low,1.01
2024-05-20,Islamabad,32.2,64,25.23,7,High,2.37
2024-05-21,Peshawar,39.4,73,24.57,7,Middle,1.62
2024-05-22,Karachi,16.9,77,20.32,7,High,0.17
2024-05-23,Peshawar,30.8,89,14.33,6,Middle,1.0
2024-05-24,Karachi,28.9,52,25.09,4,Middle,1.79
2024-05-25,Peshawar,34.7,46,16.99,5,Low,1.13
2024-05-26,Karachi,31.5,30,35.1,3,High,0.75
2024-05-27,Lahore,24.7,84,25.42,8,Middle,1.46
2024-05-28,Quetta,27.8,60,18.52,5,Middle,5.19
2024-05-29,Islamabad,24.4,60,18.33,8,High,0.15
2024-05-30,Peshawar,37.5,71,21.44,2,Middle,0.74
2024-05-31,Quetta,30.1,86,20.56,2,High,0.78
2024-06-01,Islamabad,43.3,84,28.7,8,Low,1.29
2024-06-02,Islamabad,29.6,71,23.12,7,Middle,0.25
2024-06-03,Karachi,25.0,82,17.61,5,Middle,0.29
2024-06-04,Lahore,19.4,85,33.34,7,High,0.5
